Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.02.23 12:42:46.904	DMA_SSX_0001	TVCS Shaft Smoke Detection System 01	Smoke detected in shaft!				0	SDU
CAME UNACK High	2024.02.23 12:42:46.904	DMA_SSX_0002	TVCS Shaft Smoke Detection System 02	Smoke detected in shaft!				0	SDU
CAME UNACK High	2024.02.22 18:08:09.583	AEN_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	Arden - East End Over Track Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.22 18:07:10.563	AEN_OFN_0101_02_DS	Over Track Exhaust Fan - West End - Duty Selection	Arden - West End Over Track Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.22 18:07:08.569	AEN_TFN_0101_03_DS	Tunnel Ventilation Fan - West End - Duty Selection	Tunnel Section 01 - Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.22 15:19:51.630	AEN_TFN_0201_03_DS	Tunnel Ventilation Fan - East End - Duty Selection	Tunnel Section 03 Arden End - Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.02.21 11:32:02.576	DMA_SSX_0001	TVCS Shaft Smoke Detection System 01	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.02.21 11:32:02.576	DMA_SSX_0002	TVCS Shaft Smoke Detection System 02	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.02.21 04:39:53.628	PKV-W-PED-001	Parkville Platform 1 PED 01	Platform End Door Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.21 04:22:05.629	PKV-W-PED-002	Parkville Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.02.18 14:26:53.229	PKV_TFN_0101_03_DS	Tunnel Ventilation Fan 01 - West End - Duty Selection	All fans inoperative!				0	PKV
CAME UNACK High	2024.02.18 14:26:12.232	PKV_OFN_0001_03_DS	Over Track Exhaust Fan 01 - Duty Selection	All fans inoperative!				0	PKV
CAME UNACK High	2024.02.18 14:25:31.230	PKV_TFN_0201_03_DS	Tunnel Ventilation Fan 01 - East End - Duty Selection	All fans inoperative!				0	PKV
CAME UNACK High	2024.02.12 09:46:37.945	DMA-W-PED-002	Anzac Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.02.12 09:46:37.928	DMA-E-PED-002	Anzac Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.02.12 09:42:58.358	DMA-E-PED-001	Anzac Platform 2 PED 01	Platform End Door Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.01.15 14:33:03.316	_Driver2	MTSTL:_Driver2.	Driver overloaded				0	THL
CAME UNACK Med	2024.02.26 08:15:26.505	_Conn_event_0_1_to_event_0_2	Anzac Server 1	Connection lost to Server 2 - Link 1				0	ARN
CAME UNACK Med	2024.02.26 08:15:26.505	_Conn_event_0_1_to_event_0_2	Anzac Server 1	Connection lost to Server 2 - Link 0				0	ARN
CAME UNACK Med	2024.02.26 08:15:16.945	_Conn_event_0_2_to_event_0_1	State Library Server 2	Connection lost to Server 2 - Link 0				0	STL
CAME UNACK Med	2024.02.26 08:15:16.945	_Conn_event_0_2_to_event_0_1	State Library Server 2	Connection lost to Server 2 - Link 1				0	STL
CAME UNACK Med	2024.02.26 08:15:16.945	_Conn_event_0_1_to_event_0_2	State Library Server 1	Connection lost to Server 2 - Link 0				0	THL
CAME UNACK Med	2024.02.26 08:15:16.945	_Conn_event_0_1_to_event_0_2	State Library Server 1	Connection Connection lost to Server 2 - Link 1				0	THL
CAME UNACK Med	2024.02.26 08:15:13.883	_Conn_event_0_2_to_event_0_1	MTPKV:_Conn_event_0_2_to_event_0_1.	Connection lost to Server 1 - Link 1				0	PKV
CAME UNACK Med	2024.02.26 08:15:13.877	_Conn_event_0_1_to_event_0_2	MTPKV:_Conn_event_0_1_to_event_0_2.	Connection lost to Server 2 - Link 1				0	STL
CAME UNACK Med	2024.02.26 08:15:13.877	_Conn_event_0_1_to_event_0_2	MTPKV:_Conn_event_0_1_to_event_0_2.	Connection lost to Server 2 - Link 0				0	STL
CAME UNACK Med	2024.02.26 08:15:09.792	_Conn_event_0_2_to_event_0_1	Arden Server 2	Connection lost to Server 1 - Link 0				0	ARN
