Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK Low	2024.10.08 07:26:04.400	PKV_DOR_B1_PKV-S-02_2	East Emergency Stairs - Lower Ground Floor	Unauthorised access				0	PKV
ACK High	2024.10.08 06:47:41.427	SYP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 	2024.10.08 07:24:46.884	kai_longley		0	SDU
ACK High	2024.10.08 06:39:36.422	SYP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 	2024.10.08 07:24:48.399	kai_longley		0	SDU
ACK High	2024.10.08 01:28:21.128	PKV_TFN_0101_03_DS	Tunnel Ventilation Fan 01 - West End - Duty Selection	All fans inoperative!	2024.10.08 07:24:49.782	kai_longley		0	PKV
ACK High	2024.10.08 01:27:55.129	PKV_OFN_0001_03_DS	Over Track Exhaust Fan 01 - Duty Selection	All fans inoperative!	2024.10.08 07:24:51.214	kai_longley		0	PKV
ACK High	2024.10.08 01:27:45.124	PKV_TFN_0201_03_DS	Tunnel Ventilation Fan 01 - East End - Duty Selection	All fans inoperative!	2024.10.08 07:24:52.649	kai_longley		0	PKV
ACK High	2024.10.08 01:26:13.121	PKV_SSX_0001	TVCS Shaft Smoke Detection System 01	Shaft smoke detection unavailable!	2024.10.08 07:24:54.038	kai_longley		0	SDU
ACK High	2024.10.08 01:26:13.121	PKV_SSX_0002	TVCS Shaft Smoke Detection System 02	Shaft smoke detection unavailable!	2024.10.08 07:24:55.473	kai_longley		0	SDU
ACK High	2024.10.07 23:29:32.430	SKP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 	2024.10.08 07:24:56.885	kai_longley		0	SDU
ACK High	2024.10.07 21:08:24.428	SKP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 	2024.10.08 07:24:59.584	kai_longley		0	SDU
ACK High	2024.10.07 21:08:05.423	SKP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 	2024.10.08 07:25:00.964	kai_longley		0	SDU
ACK High	2024.10.07 09:52:34.393	AEN_TFN_0201_03_DS	Tunnel Ventilation Fan - East End - Duty Selection	Tunnel Section 03 Arden End - Ventilation Unavailable!	2024.10.08 07:25:02.260	kai_longley		0	SDU
ACK High	2024.10.07 09:51:56.364	AEN_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	Arden - East End Over Track Ventilation Unavailable!	2024.10.08 07:25:03.642	kai_longley		0	SDU
ACK High	2024.10.07 09:51:51.391	AEN_OFN_0101_02_DS	Over Track Exhaust Fan - West End - Duty Selection	Arden - West End Over Track Ventilation Unavailable!	2024.10.08 07:25:12.471	kai_longley		0	SDU
ACK High	2024.10.06 08:38:49.444	TSC-E-PSD-014	Town Hall Platform 2 Zone 2 PSD 14	PSD Unscheduled Door Opening!	2024.10.07 09:21:22.882	kai_longley		0	THL
ACK High	2024.10.06 08:38:49.444	TSC-E-PSD-017	Town Hall Platform 2 Zone 2 PSD 17	PSD Unscheduled Door Opening!	2024.10.07 09:21:24.217	kai_longley		0	THL
ACK High	2024.10.06 08:38:49.421	TSC-E-PSD-008	Town Hall Platform 2 Zone 1 PSD 08	PSD Unscheduled Door Opening!	2024.10.07 09:21:25.513	kai_longley		0	THL
ACK High	2024.10.06 08:38:49.421	TSC-E-PSD-011	Town Hall Platform 2 Zone 2 PSD 11	PSD Unscheduled Door Opening!	2024.10.07 09:21:26.717	kai_longley		0	THL
ACK High	2024.10.06 08:38:49.397	TSC-E-PSD-001	Town Hall Platform 2 Zone 1 PSD 01	PSD Unscheduled Door Opening!	2024.10.07 09:21:28.070	kai_longley		0	THL
ACK High	2024.10.06 08:38:49.397	TSC-E-PSD-005	Town Hall Platform 2 Zone 1 PSD 05	PSD Unscheduled Door Opening!	2024.10.07 09:21:29.302	kai_longley		0	THL
ACK High	2024.10.06 08:01:41.645	PKV-E-PED-001	Parkville Platform 2 PED 01	Platform End Door Unscheduled Door Opening!	2024.10.07 09:21:32.463	kai_longley		0	PKV
