Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK Med	2024.10.02 00:59:32.432	AEN_ATSComm	RSG Modbus	HCS/ATS communication fault				0	ARN
CAME UNACK Med	2024.10.01 10:48:27.691	PKV-FIP-0006	Parkville Station SHCIE Panel 6	No modbus gateway connection				0	PKV
CAME UNACK Med	2024.10.01 10:48:25.157	_Mod_Plc_2	MTPKV:_Mod_Plc_2.	Communications Fault - Parkville Server 1 to Parkville FDS Gateway				0	STL
CAME UNACK Med	2024.10.01 10:48:25.157	_Mod_Plc_2_2	MTPKV:_Mod_Plc_2_2.	Communications Fault - Parkville Server 2 to Parkville FDS Gateway				0	STL
CAME UNACK Med	2024.10.01 10:47:26.688	PKV-FIP-0001	Parkville Station FDCIE Panel 	No modbus gateway connection				0	PKV
CAME UNACK Med	2024.10.01 10:47:26.688	PKV-FIP-0001	Parkville Station FDCIE Panel 	Modbus redundancy loss				0	PKV
CAME UNACK Med	2024.10.01 10:47:26.688	PKV-FIP-0002	Parkville Station SHCIE Panel 2	No modbus gateway connection				0	PKV
CAME UNACK Med	2024.10.01 10:47:26.688	PKV-FIP-0003	Parkville Station SHCIE Panel 3	No modbus gateway connection				0	PKV
CAME UNACK Med	2024.10.01 10:47:26.688	PKV-FIP-0004	Parkville Station SHCIE Panel 4	No modbus gateway connection				0	PKV
CAME UNACK Med	2024.10.01 10:47:26.688	PKV-FIP-0005	Parkville Station SHCIE Panel 5	No modbus gateway connection				0	PKV
CAME UNACK Med	2024.10.01 07:48:30.742	DMA_FCU_0103_04_FG	Fan Coil Unit - Function Group	Cooling unavailable!				0	AZC
CAME UNACK Med	2024.10.01 02:00:21.150	DMA_ModeSts	TVCS Mode Status - Domain Station S10	Over Track Exhaust Unavailable				0	SDU
CAME UNACK Med	2024.10.01 01:59:55.160	DMA_ModeSts	TVCS Mode Status - Domain Station S10	Tunnel section ventilation unavailable				0	SDU
CAME UNACK Med	2024.09.30 16:15:41.373	AEN_ModeSts	TVCS Section 02 Arden Station mode status	Tunnel Section Ventilation (TVS) Unavailable				0	SDU
CAME UNACK Low	2024.10.02 08:08:28.970	_Mod_Plc_1	Distributed Server 1	Communications Fault - Distributed Server 1 to RSG				0	ARN
CAME UNACK Low	2024.10.02 08:04:30.415	PAE_LFT_0001	Lift 1 BOH (B1 Basement to Level 1)	Lift monitoring lost 				0	SDU
CAME UNACK Low	2024.10.02 08:03:01.414	PAE_LFT_0001	Lift 1 BOH (B1 Basement to Level 1)	Lift General Fault				0	SDU
CAME UNACK Low	2024.10.02 07:55:28.716	PKV_DOR_B4_PKV-S-02_2	East Emergency Stairs - Platform	Unauthorised access				0	PKV
CAME UNACK Low	2024.10.02 00:59:31.581	_Mod_Plc_1_2	Distributed Server 2	Communications Fault - Distributed Server 2 to RSG				0	THL
CAME UNACK Low	2024.10.01 15:19:15.512	PKV_FCU_1115_16_FG	Fan Coil Unit - Function Group	Heating / cooling unavailable				0	PKV
CAME UNACK Low	2024.10.01 14:45:03.113	S_94_3_14753	Traction Section State Library to Town hall section A	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_94_5_14755	Traction Section Town Hall Station section A	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_95_1_14761	Traction Section State Library Station section B	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_95_3_14763	Traction Section State Library to Town hall section B	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_95_5_14765	Traction Section Town Hall Station section B	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_96_1_14801	Traction Section Town Hall to Anzac section A	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_96_3_14803	Traction Section Anzac Station section A	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_97_1_14811	Traction Section Town Hall to Anzac section B	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_97_3_14813	Traction Section Anzac Station section B	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_98_1_14851	Traction Section Anzac to South yarra section A	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.113	S_99_1_14861	Traction Section Anzac to South yarra section B	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.112	S_88_1_14601	Traction Section Footscray west to Arden section A	Section Traction Power status Unknown				0	SDU
CAME UNACK Low	2024.10.01 14:45:03.112	S_89_1_14611	Traction Section Footscray west to Arden section B	Section Traction Power status Unknown				0	SDU
