Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.05.21 08:40:27.453	PKV-Z-4352	ZONE 4352: B2, PKV-AJ-01 Unallocated Area 299-5	Smoke or heat detected - fire unconfirmed!				0	PKV
CAME UNACK High	2024.05.20 14:42:37.566	DMA_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	All fans inoperative!				0	AZC
CAME UNACK High	2024.05.20 14:42:26.553	DMA_OFN_0101_02_DS	Over Track Exhaust Fan 01 - West End - Duty Selection	All fans inoperative!				0	AZC
CAME UNACK High	2024.05.20 11:41:01.441	SKP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.05.20 11:41:01.382	SKP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.05.20 11:41:01.316	SKP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.05.20 11:41:01.264	SKP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.05.20 11:39:51.562	TSC-W-PED-002	Town Hall Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.05.20 11:39:51.547	TSC-E-PED-002	Town Hall Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.05.20 11:39:46.730	DMA_SSX_0002	TVCS Shaft Smoke Detection System 02	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.05.20 11:39:46.626	DMA_SSX_0001	TVCS Shaft Smoke Detection System 01	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.05.20 11:39:16.818	TNC-W-PED-002	State Library Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.05.20 11:39:16.804	TNC-E-PED-002	State Library Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.05.20 11:39:11.392	PKV-W-PED-002	Parkville Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.05.20 11:39:11.379	PKV-E-PED-002	Parkville Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	PKV
