Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
WENT UNACK Low	2024.09.21 06:23:06.798	AEN_DOR_GF_246-1_2	Ground floor west - loading dock 2	Unauthorised access			2024.09.21 11:18:58.725	0	ARN
WENT UNACK Low	2024.09.21 06:22:34.836	AEN_DOR_GF_246-1_1	Ground floor west - loading dock 1	Unauthorised access			2024.09.21 11:19:17.727	0	ARN
WENT UNACK Low	2024.09.20 18:12:03.877	PKV_TEXB	Tunnel Ambient Temperature Control - Westbound	Temperature Sensors B - Discrepancy 			2024.09.20 18:12:55.895	0	PKV
ACK High	2024.09.21 20:26:52.753	AEN-E-PED-001	Arden Platform 2 PED 01	Platform End Door Unscheduled Door Opening!	2024.09.23 06:22:02.910	kai_longley		0	ARN
ACK High	2024.09.21 19:41:50.750	AEN-W-PED-001	Arden Platform 1 PED 01	Platform End Door Unscheduled Door Opening!	2024.09.23 06:21:58.784	kai_longley		0	ARN
ACK High	2024.09.21 16:47:24.541	TSC-E-PSD-007	Town Hall Platform 2 Zone 1 PSD 07	PSD Unscheduled Door Opening!	2024.09.23 06:22:03.908	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.541	TSC-E-PSD-008	Town Hall Platform 2 Zone 1 PSD 08	PSD Unscheduled Door Opening!	2024.09.23 06:22:04.832	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.541	TSC-E-PSD-009	Town Hall Platform 2 Zone 1 PSD 09	PSD Unscheduled Door Opening!	2024.09.23 06:22:05.844	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.540	TSC-E-PSD-001	Town Hall Platform 2 Zone 1 PSD 01	PSD Unscheduled Door Opening!	2024.09.23 06:22:06.810	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.540	TSC-E-PSD-002	Town Hall Platform 2 Zone 1 PSD 02	PSD Unscheduled Door Opening!	2024.09.23 06:22:07.795	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.540	TSC-E-PSD-003	Town Hall Platform 2 Zone 1 PSD 03	PSD Unscheduled Door Opening!	2024.09.23 06:22:08.664	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.540	TSC-E-PSD-004	Town Hall Platform 2 Zone 1 PSD 04	PSD Unscheduled Door Opening!	2024.09.23 06:22:09.592	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.540	TSC-E-PSD-005	Town Hall Platform 2 Zone 1 PSD 05	PSD Unscheduled Door Opening!	2024.09.23 06:22:10.501	kai_longley		0	THL
ACK High	2024.09.21 16:47:24.540	TSC-E-PSD-006	Town Hall Platform 2 Zone 1 PSD 06	PSD Unscheduled Door Opening!	2024.09.23 06:22:11.402	kai_longley		0	THL
ACK High	2024.09.21 10:30:28.757	AEN-E-PED-002	Arden Platform 2 PED 02	Platform End Door Unscheduled Door Opening!	2024.09.23 06:22:13.257	kai_longley		0	ARN
ACK High	2024.09.21 06:06:07.229	SKP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 	2024.09.23 06:22:15.058	kai_longley		0	SDU
ACK High	2024.09.21 06:06:05.235	SKP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 	2024.09.23 06:22:15.878	kai_longley		0	SDU
ACK High	2024.09.21 06:05:04.227	SKP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 	2024.09.23 06:22:16.813	kai_longley		0	SDU
ACK High	2024.09.21 05:57:49.227	SKP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 	2024.09.23 06:22:17.672	kai_longley		0	SDU
ACK High	2024.09.21 04:24:11.230	SYP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 	2024.09.23 06:22:23.831	kai_longley		0	SDU
ACK High	2024.09.21 01:18:54.226	SYP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 	2024.09.23 06:22:26.242	kai_longley		0	SDU
ACK High	2024.09.21 01:18:22.226	SYP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 	2024.09.23 06:22:27.548	kai_longley		0	SDU
ACK High	2024.09.21 01:18:20.232	SYP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 	2024.09.23 06:22:28.649	kai_longley		0	SDU
ACK High	2024.09.20 21:02:20.762	TSC-E-PSD-026	Town Hall Platform 2 Zone 3 PSD 26	PSD Unscheduled Door Opening!	2024.09.20 21:02:31.862	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.762	TSC-E-PSD-027	Town Hall Platform 2 Zone 3 PSD 27	PSD Unscheduled Door Opening!	2024.09.20 21:02:34.237	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.762	TSC-E-PSD-028	Town Hall Platform 2 Zone 3 PSD 28	PSD Unscheduled Door Opening!	2024.09.20 21:02:33.246	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.762	TSC-E-PSD-029	Town Hall Platform 2 Zone 3 PSD 29	PSD Unscheduled Door Opening!	2024.09.20 21:02:36.073	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.762	TSC-E-PSD-030	Town Hall Platform 2 Zone 3 PSD 30	PSD Unscheduled Door Opening!	2024.09.20 21:02:35.186	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.761	TSC-E-PSD-025	Town Hall Platform 2 Zone 3 PSD 25	PSD Unscheduled Door Opening!	2024.09.20 21:02:38.932	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.667	TSC-E-PSD-023	Town Hall Platform 2 Zone 3 PSD 23	PSD Unscheduled Door Opening!	2024.09.20 21:02:37.077	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.667	TSC-E-PSD-024	Town Hall Platform 2 Zone 3 PSD 24	PSD Unscheduled Door Opening!	2024.09.20 21:02:40.868	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.638	TSC-E-PSD-017	Town Hall Platform 2 Zone 2 PSD 17	PSD Unscheduled Door Opening!	2024.09.20 21:02:40.037	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.551	TSC-E-PSD-013	Town Hall Platform 2 Zone 2 PSD 13	PSD Unscheduled Door Opening!	2024.09.20 21:02:42.837	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.551	TSC-E-PSD-014	Town Hall Platform 2 Zone 2 PSD 14	PSD Unscheduled Door Opening!	2024.09.20 21:02:41.836	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.551	TSC-E-PSD-015	Town Hall Platform 2 Zone 2 PSD 15	PSD Unscheduled Door Opening!	2024.09.20 21:02:44.702	kai_longley		0	THL
ACK High	2024.09.20 21:02:20.551	TSC-E-PSD-016	Town Hall Platform 2 Zone 2 PSD 16	PSD Unscheduled Door Opening!	2024.09.20 21:02:43.857	kai_longley		0	THL
