Severity,Alarm Raised,Asset ID,Asset Name,Alarm Description,Acknowledged,By,Cleared,Comments,Location
1,2025.03.26 07:21:07.072,AEN_TEXB,Tunnel Ambient Temperature Control - Westbound,Temperature Sensors B - Discrepancy ,"","","",0,SDU
1,2025.03.26 04:26:56.659,SYP-ZONE-0003,Westbound Detection Zone 1,TIAS activated! ,2025.03.26 07:18:33.337,kai_longley,"",0,SDU
1,2025.03.26 02:03:08.489,DMA_SSX_0002,TVCS Shaft Smoke Detection System 02,Shaft smoke detection unavailable!,2025.03.26 07:16:15.416,kai_longley,"",0,SDU
1,2025.03.25 18:02:03.543,TSC_SSX_0002,TVCS Shaft Smoke Detection System 02,Shaft smoke detection unavailable!,2025.03.26 07:18:35.548,kai_longley,"",0,THL
1,2025.03.25 10:50:57.489,DMA_SSX_0001,TVCS Shaft Smoke Detection System 01,Shaft smoke detection unavailable!,2025.03.26 07:18:37.561,kai_longley,"",0,SDU
1,2025.03.25 08:08:01.494,DMA_OFN_0101_02_DS,Albert Rd OTE shaft,All fans inoperative!,2025.03.26 07:18:39.388,kai_longley,"",0,AZC
1,2025.03.25 08:08:01.494,DMA_OFN_0201_02_DS,Bowen Ln OTE shaft,All fans inoperative!,2025.03.26 07:18:41.290,kai_longley,"",0,AZC
1,2025.03.25 08:08:01.494,DMA_TFN_0101_03_DS,Albert Rd TVF shaft,All fans inoperative!,2025.03.26 07:18:45.390,kai_longley,"",0,AZC
1,2025.03.25 08:08:01.494,DMA_TFN_0201_03_DS,Bowen Ln TVF shaft,All fans inoperative!,2025.03.26 07:18:43.595,kai_longley,"",0,AZC
1,2025.03.25 08:06:10.552,TSC_OFN_0001_03_DS,Royston Pl OTE shaft,All fans inoperative!,2025.03.26 07:18:47.231,kai_longley,"",0,THL
1,2025.03.25 08:06:10.552,TSC_TFN_0101_03_DS,Flinders Ln TVF shaft,All fans inoperative!,2025.03.26 07:18:49.499,kai_longley,"",0,THL
1,2025.03.25 08:06:10.552,TSC_TFN_0201_03_DS,Royston Pl TVF shaft,All fans inoperative!,2025.03.26 07:18:53.784,kai_longley,"",0,THL
1,2025.03.24 17:21:08.732,TNC_TFN_0201_03_DS,LaTrobe St TVF shaft,All fans inoperative!,2025.03.26 07:18:56.379,kai_longley,"",0,SDU
1,2025.03.24 17:20:45.730,TNC_OFN_0001_03_DS,A’Beckett St OTE shaft,All fans inoperative!,2025.03.26 07:18:58.525,kai_longley,"",0,SDU
1,2025.03.24 17:20:42.740,TNC_TFN_0101_03_DS,Franklin St TVF shaft,All fans inoperative!,2025.03.26 07:19:00.764,kai_longley,"",0,SDU
1,2025.03.24 14:53:23.714,TSC_TEP_0303_04_DS,Tunnel Drainage Pump - Duty Selection,Risk of track flooding!,2025.03.26 06:40:28.198,fadi_duqman,"",0,SDU
1,2025.03.24 13:00:11.536,TSC_SSX_0001,TVCS Shaft Smoke Detection System 01,Shaft smoke detection unavailable!,2025.03.26 07:19:03.299,kai_longley,"",0,THL
1,2025.03.22 20:16:39.151,AEN_TFN_0201_03_DS,Laurens St TVF shaft,Tunnel Section 03 Arden End - Ventilation Unavailable!,2025.03.24 07:57:02.801,kai_longley,"",0,SDU
1,2025.03.22 20:16:29.155,AEN_OFN_0201_02_DS,Laurens St OTE shaft,Arden - East End Over Track Ventilation Unavailable!,2025.03.24 07:57:03.973,kai_longley,"",0,SDU
1,2025.03.22 20:16:23.151,AEN_OFN_0101_02_DS,Fogarty St OTE shaft,Arden - West End Over Track Ventilation Unavailable!,2025.03.24 07:57:05.077,kai_longley,"",0,SDU
1,2025.03.22 20:16:18.108,AEN_TFN_0101_03_DS,Fogarty St TVF shaft,Tunnel Section 01 - Ventilation Unavailable!,2025.03.24 07:57:06.209,kai_longley,"",0,SDU
1,2025.03.22 20:14:09.311,PKV_TFN_0201_03_DS,Leicester St TVF shaft,All fans inoperative!,2025.03.24 07:57:07.312,kai_longley,"",0,PKV
1,2025.03.22 20:13:58.326,PKV_OFN_0001_03_DS,Kernot Rd OTE shaft,All fans inoperative!,2025.03.24 07:57:08.412,kai_longley,"",0,PKV
1,2025.03.22 20:13:47.313,PKV_TFN_0101_03_DS,Barry St TVF shaft,All fans inoperative!,2025.03.24 07:57:09.514,kai_longley,"",0,PKV
1,2025.03.21 10:27:37.232,SDU_FOLLOWUP,Tunnels and Portals Follow up alarm,Anzac station haven't ack'd an important alarm!,2025.03.24 07:57:55.921,kai_longley,"",0,SDU
1,2025.03.21 10:20:36.373,SSC_FOLLOWUP,Sunshine SCC Follow up alarm,Parkville station haven't ack'd an important alarm!,2025.03.24 07:57:57.076,kai_longley,"",0,SSC
1,2025.03.21 10:19:29.851,SDU_FOLLOWUP,Tunnels and Portals Follow up alarm,State Library station haven't ack'd an important alarm!,2025.03.24 07:57:58.194,kai_longley,"",0,SDU
1,2025.03.21 09:51:11.397,PKV_FOLLOWUP,Parkville Follow up alarm,Metrol haven't ack'd an important alarm!,2025.03.21 14:22:38.743,kasturi_jathar,"",0,PKV
1,2025.03.21 09:16:17.112,SDU_FOLLOWUP,Tunnels and Portals Follow up alarm,Arden station haven't ack'd an important alarm!,2025.03.24 07:57:59.367,kai_longley,"",0,SDU
1,2025.03.21 08:35:27.688,SDU_FOLLOWUP,Tunnels and Portals Follow up alarm,Parkville station haven't ack'd an important alarm!,2025.03.24 07:58:01.696,kai_longley,"",0,SDU
1,2025.03.21 08:27:08.550,TNC_TEP_0305_06_DS,Tunnel Drainage Pump - Duty Selection,Risk of track flooding!,2025.03.21 08:30:12.259,kai_longley,"",0,SDU
1,2025.03.12 01:40:07.727,TNC_OCN_0201_02_DS,Lt LaTrobe St OCE shaft,All fans inoperative!,2025.03.13 07:13:11.206,kai_longley,"",0,SDU
1,2025.03.11 09:48:49.222,TNC_TEP_0303_04_DS,Tunnel Drainage Pump - Duty Selection,Risk of track flooding!,2025.03.13 07:13:25.479,kai_longley,"",0,SDU
1,2025.03.11 09:48:49.210,TNC_TEP_0301_02_DS,Tunnel Drainage Pump - Duty Selection,Risk of track flooding!,2025.03.13 07:13:26.995,kai_longley,"",0,SDU
1,2025.03.11 09:46:40.232,TSC_FOLLOWUP,Town Hall Follow up alarm,Town Hall station haven't ack'd an important alarm!,2025.03.13 07:13:47.721,kai_longley,"",0,THL
1,2025.03.11 09:46:40.217,TNC_FOLLOWUP,State Library Follow up alarm,State Library station haven't ack'd an important alarm!,2025.03.13 07:13:50.868,kai_longley,"",0,STL
1,2025.03.11 09:46:40.198,SSC_FOLLOWUP,Sunshine SCC Follow up alarm,Arden station haven't ack'd an important alarm!,2025.03.13 07:13:57.878,kai_longley,"",0,SSC
1,2025.03.11 09:46:39.973,DMA_FOLLOWUP,Domain Follow up alarm,Metrol haven't ack'd an important alarm!,2025.03.13 07:14:04.504,kai_longley,"",0,AZC
1,2025.03.11 09:46:39.962,AEN_FOLLOWUP,Arden Follow up alarm,Arden station haven't ack'd an important alarm!,2025.03.13 07:14:11.506,kai_longley,"",0,ARN
1,2025.03.11 09:46:35.990,PDM_ROL_RNERV_W,"RNERV Enclosure Door - Eastern Portal, West Tunnel",RNERV crane arm extended over tracks!,2025.03.13 07:14:13.062,kai_longley,"",0,SDU
1,2025.03.11 09:40:46.562,TNC_OCN_0101_02_DS,Franklin St OCE shaft,All fans inoperative!,2025.03.13 07:16:17.988,kai_longley,"",0,SDU
1,2025.03.11 09:40:45.297,TSC_OCN_0101_02_DS,Flinders Ln OTE shaft,All fans inoperative!,2025.03.13 07:16:19.478,kai_longley,"",0,THL
1,2025.03.25 08:08:01.494,DMA_ModeSts,TVCS Mode Status - Domain Station S10,Over Track Exhaust Unavailable,2025.03.26 06:37:46.183,fadi_duqman,"",0,SDU
1,2025.03.25 08:08:01.494,DMA_ModeSts,TVCS Mode Status - Domain Station S10,Tunnel section ventilation unavailable,2025.03.26 06:37:46.183,fadi_duqman,"",0,SDU
1,2025.03.25 08:06:10.552,TSC_ModeSts,TVCS CBD South Station mode status S08,Over Track Exhaust Unavailable,2025.03.26 07:19:09.784,kai_longley,"",0,SDU
1,2025.03.25 08:06:10.552,TSC_ModeSts,TVCS CBD South Station mode status S08,Tunnel section ventilation unavailable,2025.03.26 07:19:09.784,kai_longley,"",0,SDU
1,2025.03.24 17:20:45.730,TNC_ModeSts,TVCS CBD North Station mode status S06,Over Track Exhaust Unavailable,2025.03.26 07:19:09.843,kai_longley,"",0,SDU
1,2025.03.24 17:20:42.740,TNC_ModeSts,TVCS CBD North Station mode status S06,Tunnel section ventilation unavailable,2025.03.26 07:19:09.843,kai_longley,"",0,SDU
1,2025.03.22 20:16:29.155,AEN_ModeSts,TVCS Section 02 Arden Station mode status,Station Ventilation (OTE) Unavailable,2025.03.24 07:58:41.190,kai_longley,"",0,SDU
1,2025.03.22 20:16:18.108,AEN_ModeSts,TVCS Section 02 Arden Station mode status,Tunnel Section Ventilation (TVS) Unavailable,2025.03.24 07:58:41.190,kai_longley,"",0,SDU
1,2025.03.22 20:13:58.326,PKV_ModeSts,TVCS Section 04 Parkville Station mode status,Over Track Exhaust Unavailable,2025.03.24 07:58:41.193,kai_longley,"",0,SDU
1,2025.03.22 20:13:47.313,PKV_ModeSts,TVCS Section 04 Parkville Station mode status,Tunnel section ventilation unavailable,2025.03.24 07:58:41.193,kai_longley,"",0,SDU
1,2025.03.14 18:18:33.129,DMA-FIP-0004,Anzac Station SHCIE Panel 4,No modbus gateway connection,2025.03.16 16:54:52.267,kai_longley,"",0,AZC
1,2025.03.11 10:44:49.086,_Conn_dist_1_2_to_dist_2_2,Distributed Server 2,Connection lost to Sunshine Server 2 - Link 1,2025.03.13 07:18:05.001,kai_longley,"",0,THL
1,2025.03.11 10:44:49.085,_Conn_dist_1_2_to_dist_2_2,Distributed Server 2,Connection lost to Sunshine Server 2 - Link 0,2025.03.13 07:18:05.001,kai_longley,"",0,THL
1,2025.03.11 10:44:49.083,_Conn_dist_1_1_to_dist_2_2,Distributed Server 1,Connection lost to Sunshine Server 2 - Link 1,2025.03.13 07:18:05.001,kai_longley,"",0,THL
1,2025.03.11 10:44:49.081,_Conn_dist_1_1_to_dist_2_2,Distributed Server 1,Connection lost to Sunshine Server 2 - Link 0,2025.03.13 07:18:05.001,kai_longley,"",0,THL
1,2025.03.11 10:44:49.080,_Conn_dist_1_2_to_dist_2_1,Distributed Server 2,Connection lost to Sunshine Server 1 - Link 1,2025.03.13 07:18:05.001,kai_longley,"",0,ARN
1,2025.03.11 10:44:49.078,_Conn_dist_1_2_to_dist_2_1,Distributed Server 2,Connection lost to Sunshine Server 1 - Link 0,2025.03.13 07:18:05.001,kai_longley,"",0,ARN
1,2025.03.11 10:44:49.076,_Conn_dist_1_1_to_dist_2_1,Distributed Server 1,Connection lost to Sunshine Server 1 - Link 1,2025.03.13 07:18:05.001,kai_longley,"",0,ARN
