Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.10.16 08:00:26.194	TSC-W-PED-001	Town Hall Platform 1 PED 01	Platform End Door opened!				0	THL
CAME UNACK High	2024.10.16 07:42:01.880	AEN-E-PED-001	Arden Platform 2 PED 01	Platform End Door opened!				0	ARN
CAME UNACK High	2024.10.15 15:46:43.744	SDU_TEP_0303_04_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	SDU
CAME UNACK High	2024.10.15 13:40:42.744	TSC_TEP_0303_04_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	THL
CAME UNACK High	2024.10.15 09:43:40.322	SSC_FOLLOWUP	Sunshine SCC Follow up alarm	Metrol haven't ack'd an important alarm!				0	SSC
CAME UNACK Med	2024.10.16 07:41:57.880	AEN-E-PED-001	Arden Platform 2 PED 01	Platform End Door alarm bypassed!				0	ARN
CAME UNACK Med	2024.10.16 07:28:32.189	TSC-W-PED-001	Town Hall Platform 1 PED 01	Platform End Door alarm bypassed!				0	THL
CAME UNACK Med	2024.10.16 07:24:45.875	AEN_TEP_0303_05_DS	Tunnel Drainage Pump - Duty Selection	Tunnel drainage pit - reduced capability!				0	ARN
CAME UNACK Med	2024.10.16 01:05:51.353	SDU_TEP_0303_LVT_01	Tunnel Drainage Pump - Level Transmitter	Tracks at risk of flooding!				0	SDU
CAME UNACK Low	2024.10.16 07:34:59.425	DMA_ESC_0008	Escalator 8 Bank 6 (B1 Basement to GF Gound Floor)	Escalator communications lost				0	AZC
CAME UNACK Low	2024.10.16 07:32:44.605	DMA_ESC_0008	Escalator 8 Bank 6 (B1 Basement to GF Gound Floor)	Escalator General Fault				0	AZC
CAME UNACK Low	2024.10.16 07:17:44.941	PKV_DOR_B4_PKV-S-02_2	East Emergency Stairs - Platform	Unauthorised access				0	PKV
CAME UNACK Low	2024.10.16 06:55:57.432	DMA_ESC_0006	Escalator 6 Bank 4 (B1 Basement to GF Gound Floor)	Escalator communications lost				0	AZC
CAME UNACK Low	2024.10.16 06:45:58.831	PKV-FIP-0001	Parkville Station FDCIE Panel 	Fire panels in the station have a fault				0	PKV
CAME UNACK Low	2024.10.16 06:27:40.321	AEN_DOR_GF_ESC_STAIR_9_1	Ground floor east - after hours stairs	Unauthorised access				0	ARN
CAME UNACK Low	2024.10.16 02:07:41.875	AEN-W-PSD-008	Arden Platform 1 Zone 1 PSD 08	PSD isolated				0	ARN
CAME UNACK Low	2024.10.15 18:20:20.615	PKV_DOR_B4_PKV-S-02_3	East Emergency Stairs - Platform	Unauthorised access				0	PKV
CAME UNACK Low	2024.10.15 16:15:53.002	PKV_DOR_B2_151-10_1	East Fire Lobby Entry - Concourse	Unauthorised access				0	PKV
CAME UNACK Low	2024.10.15 15:37:11.322	DMA_DOR_B2_405-4_1	Platform 1 East - Emergency stairs	Unauthorised access				0	AZC
CAME UNACK Low	2024.10.15 14:16:49.442	TSC_SDP_0101_LVT_01	Station Drainage Pump - Level Transmitter	Drainage pit at risk of overflow				0	THL
CAME UNACK Low	2024.10.15 14:13:16.625	PKV_FCU_1115_16_FG	Fan Coil Unit - Function Group	Heating / cooling unavailable				0	PKV
CAME UNACK Low	2024.10.15 13:47:37.446	DMA_LFT_0003	Lift 3 FOH (B1 Basement to GF Gound Floor)	Lift safety feature fault				0	AZC
CAME UNACK Low	2024.10.15 13:40:52.594	TSC_LFT_0012	Lift 12 BOH (B4 Basement to B3 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0011	Lift 11 FOH (B2 Basement to GF Ground Floor)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0010	Lift 10 FOH (B2 Basement to GF Ground Floor)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0009	Lift 9 FOH (B3 Basement to GF Ground Floor)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0006	Lift 6 FOH (B3 Basement to GF Ground Floor)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0005	Lift 5 FOH (B3 Basement to GF Ground Floor)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0008	Lift 8 FOH (B3 Basement to B2 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0007	Lift 7 FOH (B3 Basement to B2 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.583	TSC_LFT_0004	Lift 4 FOH (B4 Basement to B3 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.571	TSC_LFT_0003	Lift 3 FOH (B4 Basement to B3 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.571	TSC_LFT_0002	Lift 2 FOH (B4 Basement to B3 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.571	TSC_LFT_0001	Lift 1 FOH (B4 Basement to B3 Basement)	Lift monitoring lost 				0	THL
CAME UNACK Low	2024.10.15 13:40:52.539	TSC_ESC_0044	Escalator 44 Bank 15 (B3 Basement to B2 Basement)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.539	TSC_ESC_0043	Escalator 43 Bank 15 (B3 Basement to B2 Basement)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.539	TSC_ESC_0042	Escalator 42 Bank 14 (B2 Basement to GF Ground Floor)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.539	TSC_ESC_0041	Escalator 41 Bank 14 (B2 Basement to GF Ground Floor)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.528	TSC_ESC_0040	Escalator 40 Bank 14 (B2 Basement to GF Ground Floor)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.528	TSC_ESC_0039	Escalator 39 Bank 14 (B2 Basement to GF Ground Floor)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.528	TSC_ESC_0038	Escalator 38 Bank 13 (B3 Basement to B2 Basement)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.528	TSC_ESC_0037	Escalator 37 Bank 13 (B3 Basement to B2 Basement)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.528	TSC_ESC_0036	Escalator 36 Bank 13 (B3 Basement to B2 Basement)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.528	TSC_ESC_0035	Escalator 35 Bank 13 (B3 Basement to B2 Basement)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.524	TSC_ESC_0034	Escalator 34 Bank 12 (B1M Basement Mezzanine to GFM Ground Floor Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.524	TSC_ESC_0033	Escalator 33 Bank 12 (B1M Basement Mezzanine to GFM Ground Floor Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.524	TSC_ESC_0032	Escalator 32 Bank 12 (B1M Basement Mezzanine to GFM Ground Floor Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.523	TSC_ESC_0031	Escalator 31 Bank 12 (B1M Basement Mezzanine to GFM Ground Floor Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.513	TSC_ESC_0030	Escalator 30 Bank 12 (B1M Basement Mezzanine to GFM Ground Floor Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.513	TSC_ESC_0029	Escalator 29 Bank 11 (B1 Basement to B1M Basement Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.513	TSC_ESC_0028	Escalator 28 Bank 11 (B1 Basement to B1M Basement Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.513	TSC_ESC_0027	Escalator 27 Bank 10 (B1 Basement to B1M Basement Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.513	TSC_ESC_0026	Escalator 26 Bank 10 (B1 Basement to B1M Basement Mezzanine)	Escalator communications lost				0	THL
CAME UNACK Low	2024.10.15 13:40:52.513	TSC_ESC_0025	Escalator 25 Bank 9 (B1 Basement to B1M Basement Mezzanine)	Escalator communications lost				0	THL
