Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.10.08 06:47:41.427	SYP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.10.08 06:39:36.422	SYP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.10.08 01:28:21.128	PKV_TFN_0101_03_DS	Tunnel Ventilation Fan 01 - West End - Duty Selection	All fans inoperative!				0	PKV
CAME UNACK High	2024.10.08 01:27:55.129	PKV_OFN_0001_03_DS	Over Track Exhaust Fan 01 - Duty Selection	All fans inoperative!				0	PKV
CAME UNACK High	2024.10.08 01:27:45.124	PKV_TFN_0201_03_DS	Tunnel Ventilation Fan 01 - East End - Duty Selection	All fans inoperative!				0	PKV
CAME UNACK High	2024.10.08 01:26:13.121	PKV_SSX_0001	TVCS Shaft Smoke Detection System 01	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.10.08 01:26:13.121	PKV_SSX_0002	TVCS Shaft Smoke Detection System 02	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.10.07 23:29:32.430	SKP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.10.07 21:09:06.108	SDU_FOLLOWUP	Tunnels and Portals Follow up alarm	Metrol haven't ack'd an important alarm!				0	SDU
CAME UNACK High	2024.10.07 21:08:24.428	SKP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.10.07 21:08:05.423	SKP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.10.07 09:52:34.393	AEN_TFN_0201_03_DS	Tunnel Ventilation Fan - East End - Duty Selection	Tunnel Section 03 Arden End - Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.10.07 09:51:56.364	AEN_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	Arden - East End Over Track Ventilation Unavailable!				0	SDU
CAME UNACK High	2024.10.07 09:51:51.391	AEN_OFN_0101_02_DS	Over Track Exhaust Fan - West End - Duty Selection	Arden - West End Over Track Ventilation Unavailable!				0	SDU
CAME UNACK Med	2024.10.08 01:27:55.129	PKV_ModeSts	TVCS Section 04 Parkville Station mode status	Over Track Exhaust Unavailable				0	SDU
CAME UNACK Med	2024.10.08 01:27:45.124	PKV_ModeSts	TVCS Section 04 Parkville Station mode status	Tunnel section ventilation unavailable				0	SDU
CAME UNACK Med	2024.10.07 09:51:56.364	AEN_ModeSts	TVCS Section 02 Arden Station mode status	Station Ventilation (OTE) Unavailable				0	SDU
CAME UNACK Low	2024.10.08 07:15:19.959	DMA_DOR_B1_151-1_1	West Fire Escape Corridor - Concourse	Unauthorised access				0	AZC
CAME UNACK Low	2024.10.08 07:09:27.188	AEN_DOR_B2_403-1_2	Platform 1 west - single emergency door	Unauthorised access				0	ARN
CAME UNACK Low	2024.10.08 04:05:00.219	AEN_DOR_B2_ESC_STAIRS_04_2	Platform 2 east - single emergency door	Unauthorised access				0	ARN
WENT UNACK Med	2024.10.08 01:28:18.120	PKV_TFN_0101_03_DS	Tunnel Ventilation Fan 01 - West End - Duty Selection	Degraded fans			2024.10.08 01:28:21.128	0	PKV
WENT UNACK Med	2024.10.08 01:27:53.126	PKV_OFN_0001_03_DS	Over Track Exhaust Fan 01 - Duty Selection	Degraded fans			2024.10.08 01:27:55.129	0	PKV
WENT UNACK Med	2024.10.08 01:27:31.126	PKV_TFN_0201_03_DS	Tunnel Ventilation Fan 01 - East End - Duty Selection	Degraded fans			2024.10.08 01:27:45.124	0	PKV
WENT UNACK Med	2024.10.07 17:41:01.641	PKV-E-PSD-008	Parkville Platform 2 Zone 1 PSD 08	Door control unit communication lost			2024.10.07 17:41:57.635	0	PKV
WENT UNACK Med	2024.10.07 15:34:00.019	_ForcefieldDriver	Distributed Servers	Communications Fault to Forcefield Server			2024.10.07 15:34:30.019	0	ARN
WENT UNACK Med	2024.10.07 15:25:35.418	_Mod_Plc_1_2	MTSTL:_Mod_Plc_1_2.	Communications Fault - State Library Server 2 to State Library PSD Servers			2024.10.07 15:33:22.434	0	THL
WENT UNACK Med	2024.10.07 15:25:34.418	_Mod_Plc_1	MTSTL:_Mod_Plc_1.	Communications Fault - State Library Server 1 to State Library PSD Servers			2024.10.07 15:33:22.414	0	STL
WENT UNACK Med	2024.10.07 13:32:20.876	_TSC-TVC-PLC	MTTHL:_TSC-TVC-PLC.	Communications Fault - Town Hall Server 1 to Town Hall TVCS PLC			2024.10.07 13:32:50.938	0	THL
WENT UNACK Med	2024.10.07 13:31:57.745	_TNC-BMS-PLC	MTSTL:_TNC-BMS-PLC.	Communications Fault - State Library Server 1 to State Library BMS PLC			2024.10.07 13:31:57.906	0	STL
WENT UNACK Med	2024.10.07 13:31:57.629	_TNC-BMS-PLC3	MTSTL:_TNC-BMS-PLC3.	Communications Fault - State Library Server 1 to State Library BMS Gateway PLC			2024.10.07 13:32:39.032	0	STL
WENT UNACK Med	2024.10.07 12:05:59.479	DMA_FCU_1111_FG	Fan Coil Unit - Function Group	Cooling unavailable!			2024.10.07 12:15:51.662	0	AZC
WENT UNACK Med	2024.10.07 11:48:12.233	SDU_STP_0403_04_FG	Stormwater Pump - Function Group	Tunnel stormwater pit level not dropping!			2024.10.07 11:54:59.236	0	SDU
WENT UNACK Med	2024.10.07 11:45:03.297	PKV_TEP_0303_LVT_01	Tunnel Drainage Pump - Level Transmitter	Tracks at risk of flooding!			2024.10.07 11:45:21.309	0	PKV
WENT UNACK Med	2024.10.07 09:52:32.385	AEN_TFN_0201_03_DS	Tunnel Ventilation Fan - East End - Duty Selection	Tunnel Section 03 Arden End - Ventilation Degraded			2024.10.07 09:52:35.379	0	SDU
WENT UNACK Med	2024.10.06 15:58:48.004	_TSC-BMS-PLC3	MTTHL:_TSC-BMS-PLC3.	Communications Fault - Town Hall Server 1 to Town Hall BMS Gateway PLC			2024.10.06 15:58:48.046	0	THL
WENT UNACK Med	2024.10.06 15:58:28.010	_TNC-BMS-PLC3_2	MTSTL:_TNC-BMS-PLC3_2.	Communications Fault - State Library Server 2 to State Library BMS Gateway PLC			2024.10.06 15:58:28.685	0	THL
WENT UNACK Med	2024.10.06 15:58:03.035	_TSC-TVC-PLC_2	MTTHL:_TSC-TVC-PLC_2.	Communications Fault - Town Hall Server 2 to Town Hall TVCS PLC			2024.10.06 15:58:52.125	0	AZC
WENT UNACK Med	2024.10.06 15:58:02.670	_TSC-BMS-PLC_2	MTTHL:_TSC-BMS-PLC_2.	Communications Fault - Town Hall Server 2 to Town Hall BMS PLC			2024.10.06 15:58:02.853	0	AZC
WENT UNACK Med	2024.10.06 15:58:02.640	_TSC-BMS-PLC3_2	MTTHL:_TSC-BMS-PLC3_2.	Communications Fault - Town Hall Server 2 to Town Hall BMS Gateway PLC			2024.10.06 15:58:44.060	0	AZC
WENT UNACK Med	2024.10.06 15:57:59.471	_PKV-TVC-PLC_2	MTPKV:_PKV-TVC-PLC_2.	Communications Fault - Parkville Server 2 to Parkville TVCS PLC			2024.10.06 15:58:23.821	0	STL
WENT UNACK Med	2024.10.06 15:57:48.477	_TSC-BMS-PLC	MTTHL:_TSC-BMS-PLC.	Communications Fault - Town Hall Server 1 to Town Hall BMS PLC			2024.10.06 15:58:31.631	0	THL
WENT UNACK Med	2024.10.06 15:57:38.720	_TNC-BMS-PLC_2	MTSTL:_TNC-BMS-PLC_2.	Communications Fault - State Library Server 2 to State Library BMS PLC			2024.10.06 15:58:29.973	0	THL
WENT UNACK Med	2024.10.06 15:57:28.673	_TNC-TVC-PLC	MTSTL:_TNC-TVC-PLC.	Communications Fault - State Library Server 1 to State Library TVCS PLC			2024.10.06 15:58:28.728	0	STL
WENT UNACK Med	2024.10.06 15:57:14.565	_PAE-BMS-PLC_2	MTARD:_PAE-BMS-PLC_2.	Communications Fault - Arden Server 2 to Western Portal BMS PLC			2024.10.06 15:58:39.049	0	PKV
WENT UNACK Med	2024.10.06 15:56:56.655	_TNC-TVC-PLC_2	MTSTL:_TNC-TVC-PLC_2.	Communications Fault - State Library Server 2 to State Library TVCS PLC			2024.10.06 15:58:43.314	0	THL
WENT UNACK Med	2024.10.06 15:56:44.464	_PKV-BMS-PLC	MTPKV:_PKV-BMS-PLC.	Communications Fault - Parkville Server 1 to Parkville BMS PLC			2024.10.06 15:58:08.136	0	PKV
WENT UNACK Med	2024.10.06 15:56:41.249	_PKV-BMS-PLC3_2	MTPKV:_PKV-BMS-PLC3_2.	Communications Fault - Parkville Server 2 to Parkville BMS Gateway PLC			2024.10.06 15:58:09.142	0	STL
WENT UNACK Med	2024.10.06 15:56:30.755	_PKV-BMS-PLC3	MTPKV:_PKV-BMS-PLC3.	Communications Fault - Parkville Server 1 to Parkville BMS Gateway PLC			2024.10.06 15:58:36.881	0	PKV
WENT UNACK Med	2024.10.06 15:56:21.654	_PKV-BMS-PLC_2	MTPKV:_PKV-BMS-PLC_2.	Communications Fault - Parkville Server 2 to Parkville BMS PLC			2024.10.06 15:57:45.325	0	STL
WENT UNACK Med	2024.10.06 15:55:07.560	_PKV-TVC-PLC	MTPKV:_PKV-TVC-PLC.	Communications Fault - Parkville Server 1 to Parkville TVCS PLC			2024.10.06 15:58:07.613	0	PKV
WENT UNACK Med	2024.10.06 15:54:20.410	_PDM-BMS-PLC_2	MTAZC:_PDM-BMS-PLC_2.	Communications Fault - Anzac Server 2 to Eastern Portal BMS PLC			2024.10.06 15:58:53.049	0	ARN
WENT UNACK Med	2024.10.06 15:53:51.080	_PAE-BMS-PLC	MTARD:_PAE-BMS-PLC.	Communications Fault - Arden Server 1 to Western Portal BMS PLC			2024.10.06 15:58:45.049	0	ARN
WENT UNACK Med	2024.10.06 15:53:50.737	_PDM-BMS-PLC	MTAZC:_PDM-BMS-PLC.	Communications Fault - Anzac Server 1 to Eastern Portal BMS PLC			2024.10.06 15:58:05.140	0	AZC
WENT UNACK Low	2024.10.08 07:18:49.217	AEN_DOR_GF_401-1_1	Ground floor east - fire control room	Unauthorised access			2024.10.08 07:18:52.326	0	ARN
WENT UNACK Low	2024.10.08 07:17:07.979	PKV_DOR_B2_402-3_3	East Emergency Stairs - Concourse	Unauthorised access			2024.10.08 07:19:27.381	0	PKV
WENT UNACK Low	2024.10.08 07:10:17.719	PKV_DOR_B1_PKV-S-02_2	East Emergency Stairs - Lower Ground Floor	Unauthorised access			2024.10.08 07:10:22.901	0	PKV
WENT UNACK Low	2024.10.08 06:57:36.411	AEN_DOR_B1_ESC_STAIRS_03_2	Concourse west - back of house emergency stairs	Unauthorised access			2024.10.08 06:57:47.580	0	ARN
WENT UNACK Low	2024.10.08 06:51:51.467	_Mod_Plc_1	Distributed Server 1	Communications Fault - Distributed Server 1 to RSG			2024.10.08 06:51:52.432	0	ARN
WENT UNACK Low	2024.10.08 06:49:07.254	AEN_DOR_B2_ESC_STAIRS_03_2	Platform 1 west - double emergency door	Unauthorised access			2024.10.08 06:49:09.742	0	ARN
WENT UNACK Low	2024.10.08 06:44:39.831	AEN_DOR_B1_ESC_STAIRS_03_1	Concourse west - back of house emergency corridor	Unauthorised access			2024.10.08 06:50:00.172	0	ARN
WENT UNACK Low	2024.10.08 06:25:59.329	AEN_DOR_B2_ESC_STAIRS_04_3	Platform 1 east - double emergency door	Unauthorised access			2024.10.08 07:21:21.760	0	ARN
WENT UNACK Low	2024.10.08 06:18:34.846	AEN_DOR_B1_151-3_1	Concourse west - back of house corridor	Unauthorised access			2024.10.08 06:18:40.880	0	ARN
WENT UNACK Low	2024.10.08 05:50:56.811	PKV_DOR_GF_PKV-S-03_1	West Emergency Stairs - Ground Floor	Unauthorised access			2024.10.08 05:51:06.015	0	PKV
WENT UNACK Low	2024.10.08 04:39:15.034	_Mod_Plc_1_2	Distributed Server 2	Communications Fault - Distributed Server 2 to RSG			2024.10.08 04:39:16.046	0	THL
WENT UNACK Low	2024.10.08 01:28:13.121	PKV_TFN_0101_03_DS	Tunnel Ventilation Fan 01 - West End - Duty Selection	Loss of redundancy (fans)			2024.10.08 01:28:18.120	0	PKV
WENT UNACK Low	2024.10.08 01:27:53.126	PKV_ModeSts	TVCS Section 04 Parkville Station mode status	Over Track Exhaust Degraded			2024.10.08 01:27:55.129	0	SDU
WENT UNACK Low	2024.10.08 01:27:21.127	PKV_TFN_0201_03_DS	Tunnel Ventilation Fan 01 - East End - Duty Selection	Loss of redundancy (fans)			2024.10.08 01:27:31.126	0	PKV
WENT UNACK Low	2024.10.08 01:26:13.121	PKV_OFN_0001_03_DS	Over Track Exhaust Fan 01 - Duty Selection	Loss of redundancy (fans)			2024.10.08 01:27:53.126	0	PKV
WENT UNACK Low	2024.10.08 01:26:08.121	PKV_StationFunc	TVCS Operator Fire Emergency Section 04 - Parkville Station	Train Fire Ventilation Mode still active 			2024.10.08 01:26:13.121	0	SDU
WENT UNACK Low	2024.10.07 23:50:08.994	PKV_DOR_B3_402-7_2	East Emergency Stairs - Basement	Unauthorised access			2024.10.07 23:50:13.213	0	PKV
WENT UNACK Low	2024.10.07 20:40:00.499	DMA_ESC_0010	Escalator 10 Bank 6 (B1 Basement to GF Gound Floor)	Escalator General Fault			2024.10.07 20:40:12.649	0	AZC
WENT UNACK Low	2024.10.07 20:39:56.496	DMA_ESC_0009	Escalator 9 Bank 6 (B1 Basement to GF Gound Floor)	Escalator General Fault			2024.10.07 20:40:10.498	0	AZC
WENT UNACK Low	2024.10.07 17:36:48.470	AEN-ASD-0043	B1, AEN-ASD-0043, 705-1 STER - F1	Aspirating smoke detector fault			2024.10.07 17:37:26.584	0	ARN
WENT UNACK Low	2024.10.07 15:59:49.260	DMA-FIP-0001	Anzac Station FDCIE Panel	Fire panels in the station have a fault			2024.10.07 16:00:20.281	0	AZC
WENT UNACK Low	2024.10.07 14:49:30.384	DMA_DOR_B1_406-3_1	South Fire Escape Corridor - Concourse	Unauthorised access			2024.10.07 14:51:25.576	0	AZC
WENT UNACK Low	2024.10.07 14:49:02.799	DMA_DOR_B1_406-3_2	South Fire Lobby - Concourse	Unauthorised access			2024.10.07 14:51:34.658	0	AZC
WENT UNACK Low	2024.10.07 13:32:19.543	_PKV-TVC-PLC_2	MTPKV:_PKV-TVC-PLC_2.	Link Failure - Parkville Server 2 to Parkville TVCS CPU 2			2024.10.07 13:32:49.593	0	STL
WENT UNACK Low	2024.10.07 13:32:07.737	_PKV-TVC-PLC	MTPKV:_PKV-TVC-PLC.	Link Failure - Parkville Server 1 to Parkville TVCS CPU 1			2024.10.07 13:32:37.788	0	PKV
WENT UNACK Low	2024.10.07 11:54:50.561	TNC_SDP_0101_02_FG	Station Drainage Pit - Function Group	Station drainage pit not dropping!			2024.10.07 11:55:16.555	0	STL
WENT UNACK Low	2024.10.07 11:39:17.532	AEN_ESC_0002	Escalator 2 Bank 2 (Platforms to Concourse)	Escalator stopped (foreign object trapped in handrail entry - bottom left)			2024.10.07 11:39:27.534	0	ARN
WENT UNACK Low	2024.10.07 11:39:17.532	AEN_ESC_0002	Escalator 2 Bank 2 (Platforms to Concourse)	Escalator General Fault			2024.10.07 11:39:31.533	0	ARN
WENT UNACK Low	2024.10.07 10:02:01.026	AEN_DOR_B2_ESC_STAIRS_03_1	Platform 2 west - single emergency door	Unauthorised access			2024.10.07 10:02:27.721	0	ARN
WENT UNACK Low	2024.10.07 09:51:51.391	AEN_ModeSts	TVCS Section 02 Arden Station mode status	Station Ventilation (OTE) Degraded			2024.10.07 09:51:57.397	0	SDU
WENT UNACK Low	2024.10.07 09:28:45.785	AEN_DOR_B1_151-4_1	Concourse east  - back of house emergency corridor	Unauthorised access			2024.10.07 09:28:51.011	0	ARN
WENT UNACK Low	2024.10.07 09:11:46.335	PKV_LFT_0010	Lift 10 BOH (B4 Basement to B1 Basement)	Lift General Fault			2024.10.07 09:15:16.335	0	PKV
