Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.07.19 08:04:24.941	AEN-E-PED-001	Arden Platform 2 PED 01	Platform End Door opened!				0	ARN
CAME UNACK High	2024.07.19 08:04:05.463	TSC-E-PED-002	Town Hall Platform 2 PED 02	Platform End Door opened!				0	THL
CAME UNACK High	2024.07.19 07:36:32.653	PKV-W-PED-001	Parkville Platform 1 PED 01	Platform End Door opened!				0	PKV
CAME UNACK High	2024.07.19 05:33:43.122	DMA_TEP_0303_04_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	AZC
CAME UNACK High	2024.07.18 13:49:42.673	PKV-W-EED-005	Parkville Platform 1 Zone 1 EED 05	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 13:49:08.671	PKV-W-EED-003	Parkville Platform 1 Zone 1 EED 03	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 13:49:02.672	PKV-W-EED-002	Parkville Platform 1 Zone 1 EED 02	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 13:47:50.672	PKV-W-EED-001	Parkville Platform 1 Zone 1 EED 01	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 12:12:58.919	DMA_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	All fans inoperative!				0	AZC
CAME UNACK High	2024.07.18 12:12:30.916	DMA_OFN_0101_02_DS	Over Track Exhaust Fan 01 - West End - Duty Selection	All fans inoperative!				0	AZC
CAME UNACK High	2024.07.18 12:12:29.895	DMA_SSX_0001	TVCS Shaft Smoke Detection System 01	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.07.18 11:19:26.956	AEN-W-EED-040	Arden Platform 1 Zone 3 EED 40	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:18:42.955	AEN-W-EED-039	Arden Platform 1 Zone 3 EED 39	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:18:34.955	AEN-W-EED-038	Arden Platform 1 Zone 3 EED 38	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:17:44.954	AEN-W-EED-037	Arden Platform 1 Zone 3 EED 37	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:17:38.957	AEN-W-EED-036	Arden Platform 1 Zone 3 EED 36	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:15:10.952	AEN-W-EED-035	Arden Platform 1 Zone 3 EED 35	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:15:04.952	AEN-W-EED-034	Arden Platform 1 Zone 3 EED 34	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:14:52.963	AEN-W-EED-033	Arden Platform 1 Zone 3 EED 33	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:14:12.953	AEN-W-EED-032	Arden Platform 1 Zone 3 EED 32	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:14:02.955	AEN-W-EED-031	Arden Platform 1 Zone 3 EED 31	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:13:04.952	AEN-W-EED-030	Arden Platform 1 Zone 3 EED 30	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:12:50.954	AEN-W-EED-029	Arden Platform 1 Zone 3 EED 29	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:10:56.951	AEN-W-EED-028	Arden Platform 1 Zone 3 EED 28	EED Unscheduled Door Opening!				0	ARN
CAME UNACK High	2024.07.18 11:10:48.951	AEN-W-EED-027	Arden Platform 1 Zone 3 EED 27	EED Unscheduled Door Opening!				0	ARN
