Severity,Alarm Raised,Asset ID,Asset Name,Alarm Description,Acknowledged,By,Cleared,Comments,Location
1,2025.04.15 20:57:24.770,TNC_OFN_0001_03_DS,A’Beckett St OTE shaft,All fans inoperative!,"","","",0,SDU
1,2025.04.15 20:57:24.770,TNC_OCN_0201_02_DS,Lt LaTrobe St OCE shaft,All fans inoperative!,"","","",0,SDU
1,2025.04.15 20:57:24.770,TNC_OCN_0101_02_DS,Franklin St OCE shaft,All fans inoperative!,"","","",0,SDU
1,2025.04.15 19:35:26.126,SDU_FOLLOWUP,Tunnels and Portals Follow up alarm,Metrol haven't ack'd an important alarm!,"","","",0,SDU
1,2025.04.15 19:34:26.103,SYP-ZONE-0003,West Tunnel Detection Zone 1,TIAS activated! ,"","","",0,SDU
1,2025.04.15 18:08:38.753,DMA_SSX_0001,TVCS Shaft Smoke Detection System 01,Shaft smoke detection unavailable!,"","","",0,SDU
1,2025.04.15 18:08:38.753,DMA_SSX_0001,TVCS Shaft Smoke Detection System 01,Smoke detected in shaft!,"","","",0,SDU
1,2025.04.15 13:55:27.841,TSC_FOLLOWUP,Town Hall Follow up alarm,Metrol haven't ack'd an important alarm!,"","","",0,THL
1,2025.04.15 13:54:26.474,SDU_FOLLOWUP,Tunnels and Portals Follow up alarm,State Library station haven't ack'd an important alarm!,"","","",0,SDU
1,2025.04.15 07:49:02.040,SSC_FOLLOWUP,Sunshine SCC Follow up alarm,Metrol haven't ack'd an important alarm!,"","","",0,SSC
1,2025.04.15 20:57:24.770,TNC_ModeSts,TVCS State Library Station Mode Status S06,Over Track Exhaust Unavailable,"","","",0,SDU
1,2025.04.15 20:06:49.138,TNC_FCU_1405_06_FG,Fan Coil Unit - Function Group,Cooling unavailable!,"","","",0,STL
1,2025.04.15 16:27:55.065,TNC_FCU_1407_08_FG,Fan Coil Unit - Function Group,Cooling unavailable!,"","","",0,STL
1,2025.04.15 16:28:06.987,AEN_SSX_0001,TVCS Shaft Smoke Detection System 01,Shaft Smoke Detection Unavailable ,"","","",0,SDU
1,2025.04.15 16:12:15.078,TNC_ESC_0014,Escalator 14 Bank 5 (B2 Basement to B5 Basement),Escalator communications lost,"","","",0,STL
1,2025.04.15 16:11:57.074,TNC_ESC_0015,Escalator 15 Bank 5 (B2 Basement to B5 Basement),Escalator communications lost,"","","",0,STL
1,2025.04.15 16:11:46.150,TNC_ESC_0013,Escalator 13 Bank 5 (B2 Basement to B5 Basement),Escalator communications lost,"","","",0,STL
1,2025.04.15 16:11:28.277,TNC_ESC_0017,Escalator 17 Bank 5 (B2 Basement to B5 Basement),Escalator communications lost,"","","",0,STL
1,2025.04.15 16:11:17.088,TNC_ESC_0016,Escalator 16 Bank 5 (B2 Basement to B5 Basement),Escalator communications lost,"","","",0,STL
1,2025.04.15 16:11:13.084,TNC_ESC_0013,Escalator 13 Bank 5 (B2 Basement to B5 Basement),Escalator General Fault,"","","",0,STL
1,2025.04.15 16:11:04.149,TNC_ESC_0014,Escalator 14 Bank 5 (B2 Basement to B5 Basement),Escalator General Fault,"","","",0,STL
1,2025.04.15 16:10:48.262,TNC_ESC_0015,Escalator 15 Bank 5 (B2 Basement to B5 Basement),Escalator General Fault,"","","",0,STL
1,2025.04.15 16:10:43.082,TNC_ESC_0016,Escalator 16 Bank 5 (B2 Basement to B5 Basement),Escalator General Fault,"","","",0,STL
1,2025.04.15 16:10:34.161,TNC_ESC_0017,Escalator 17 Bank 5 (B2 Basement to B5 Basement),Escalator General Fault,"","","",0,STL
1,2025.04.15 14:27:25.507,TSC_SPP_0207_LVT_01,Sewer Pump - Level Transmitter,Sewer pit at risk of overflow,"","","",0,THL
1,2025.04.15 14:26:46.465,TSC_SDP_0107_LVT_01,Station Drainage Pump - Level Transmitter,Drainage pit at risk of overflow,"","","",0,THL
1,2025.04.15 13:26:44.390,TNC_DOR_B4_CBN-S-04_1,Franklin West Emergency Stairs - B4,Unauthorised access,"","","",0,STL
1,2025.04.15 13:18:16.155,TNC_DOR_GF_CBN-S-04_1,Franklin West Emergency Stairs - Ground Floor,Unauthorised access,"","","",0,STL
1,2025.04.15 09:25:37.916,S_97_3_14813,Traction Section Anzac Station section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.916,S_98_1_14851,Traction Section Anzac to South yarra section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.916,S_99_1_14861,Traction Section Anzac to South yarra section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_88_1_14601,Traction Section Footscray west to Arden section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_89_1_14611,Traction Section Footscray west to Arden section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_90_1_14651,Traction Section Arden Station section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_90_3_14653,Traction Section Arden to Parkville section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_91_1_14661,Traction Section Arden Station section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_91_3_14663,Traction Section Arden to Parkville section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_92_1_14701,Traction Section Parkville Station section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_92_3_14703,Traction Section Parkville to State Library section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_93_1_14711,Traction Section Parkville Station section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_93_3_14713,Traction Section Parkville to State Library section B,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_94_1_14751,Traction Section State Library Station section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_94_3_14753,Traction Section State Library to Town hall section A,Section Traction Power status Unknown,"","","",0,SDU
1,2025.04.15 09:25:37.915,S_94_5_14755,Traction Section Town Hall Station section A,Section Traction Power status Unknown,"","","",0,SDU
