Severity,Alarm Raised,Asset ID,Asset Name,Alarm Description,Acknowledged,By,Cleared,Comments,Location
1,2025.03.13 10:34:06.943,AEN-Z-3624,"ZONE 3624: B2, AEN-C-03 PLATFORM EAST",Smoke or heat detected - fire unconfirmed!,2025.03.13 10:37:52.240,kai_longley,2025.03.13 10:38:18.184,0,ARN
1,2025.03.13 10:34:07.725,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 10:37:56.301,kai_longley,2025.03.13 10:38:18.729,0,ARN
1,2025.03.13 10:34:10.226,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 10:37:56.301,kai_longley,2025.03.13 10:34:16.229,0,ARN
1,2025.03.13 10:43:59.418,AEN-Z-3623,"ZONE 3623: B2, AEN-C-02 PLATFORM CENTRE",Smoke or heat detected - fire unconfirmed!,2025.03.13 10:47:34.251,kai_longley,2025.03.13 10:47:25.622,0,ARN
1,2025.03.13 10:44:00.725,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 10:47:31.361,kai_longley,2025.03.13 10:47:24.725,0,ARN
1,2025.03.13 10:44:03.228,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 10:47:31.361,kai_longley,2025.03.13 10:44:10.221,0,ARN
1,2025.03.13 10:49:23.968,AEN-Z-3622,"ZONE 3622: B2, AEN-C-01 PLATFORM WEST",Smoke or heat detected - fire unconfirmed!,2025.03.13 10:52:50.539,kai_longley,2025.03.13 10:52:45.292,0,ARN
1,2025.03.13 10:49:24.717,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 10:52:47.010,kai_longley,2025.03.13 10:52:41.719,0,ARN
1,2025.03.13 10:49:28.222,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 10:52:47.010,kai_longley,2025.03.13 10:49:40.212,0,ARN
1,2025.03.13 10:56:23.731,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 11:00:33.681,kai_longley,2025.03.13 11:00:10.727,0,ARN
1,2025.03.13 10:56:24.512,AEN-Z-3624,"ZONE 3624: B2, AEN-C-03 PLATFORM EAST",Smoke or heat detected - fire unconfirmed!,2025.03.13 11:00:26.134,kai_longley,2025.03.13 11:00:11.029,0,ARN
1,2025.03.13 10:56:26.214,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 11:00:33.681,kai_longley,2025.03.13 10:56:53.222,0,ARN
1,2025.03.13 11:02:46.932,AEN-Z-3624,"ZONE 3624: B2, AEN-C-03 PLATFORM EAST",Smoke or heat detected - fire unconfirmed!,2025.03.13 11:07:30.100,kai_longley,2025.03.13 11:06:48.412,0,ARN
1,2025.03.13 11:02:47.712,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 11:07:20.952,kai_longley,2025.03.13 11:06:48.726,0,ARN
1,2025.03.13 11:02:50.223,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 11:07:20.952,kai_longley,2025.03.13 11:02:58.226,0,ARN
1,2025.03.13 11:27:55.553,AEN-Z-3622,"ZONE 3622: B2, AEN-C-01 PLATFORM WEST",Smoke or heat detected - fire unconfirmed!,2025.03.13 11:32:51.461,kai_longley,2025.03.13 11:28:19.208,0,ARN
1,2025.03.13 11:27:55.729,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 11:28:19.461,alex_wilder,2025.03.13 11:28:19.729,0,ARN
1,2025.03.13 11:27:59.229,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 11:28:19.461,alex_wilder,2025.03.13 11:28:06.233,0,ARN
1,2025.03.13 11:29:14.854,AEN-Z-3623,"ZONE 3623: B2, AEN-C-02 PLATFORM CENTRE",Smoke or heat detected - fire unconfirmed!,2025.03.13 11:32:55.714,kai_longley,2025.03.13 11:29:31.418,0,ARN
1,2025.03.13 11:29:15.729,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,,,2025.03.13 11:29:31.729,0,ARN
1,2025.03.13 11:29:18.223,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,,,2025.03.13 11:29:22.223,0,ARN
1,2025.03.13 11:30:09.297,AEN-Z-3624,"ZONE 3624: B2, AEN-C-03 PLATFORM EAST",Smoke or heat detected - fire unconfirmed!,2025.03.13 11:32:53.712,kai_longley,2025.03.13 11:30:20.625,0,ARN
1,2025.03.13 11:30:09.729,AEN-FIP-0001,Arden Main Fire Panel,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 11:31:40.211,kai_longley,2025.03.13 11:30:21.729,0,ARN
1,2025.03.13 11:30:12.223,AEN-FIP-0001,Arden Main Fire Panel,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 11:31:40.211,kai_longley,2025.03.13 11:30:20.226,0,ARN
