Severity,Alarm Raised,Asset ID,Asset Name,Alarm Description,Acknowledged,By,Cleared,Comments,Location
1,2025.03.13 13:44:14.707,PKV-FIP-0002,Parkville Station SHCIE Panel 2,No modbus gateway connection,,,2025.03.13 13:47:33.550,0,PKV
1,2025.03.13 13:44:14.707,PKV-FIP-0001,Parkville Station FDCIE Panel ,Modbus redundancy loss,2025.03.13 13:49:54.089,kai_longley,2025.03.13 13:45:50.909,0,PKV
1,2025.03.13 13:44:14.708,PKV-FIP-0003,Parkville Station SHCIE Panel 3,No modbus gateway connection,,,2025.03.13 13:46:47.593,0,PKV
1,2025.03.13 13:44:14.708,PKV-FIP-0006,Parkville Station SHCIE Panel 6,No modbus gateway connection,,,2025.03.13 13:46:43.554,0,PKV
1,2025.03.13 13:44:14.708,PKV-FIP-0005,Parkville Station SHCIE Panel 5,No modbus gateway connection,,,2025.03.13 13:46:43.554,0,PKV
1,2025.03.13 13:44:14.708,PKV-FIP-0004,Parkville Station SHCIE Panel 4,No modbus gateway connection,,,2025.03.13 13:46:43.554,0,PKV
1,2025.03.13 13:46:50.182,PKV_SYS_0002,Parkville FDS PLC connection status,PSS 1 connection 1 lost,,,2025.03.13 13:46:55.221,0,PKV
1,2025.03.13 13:46:50.184,PKV_SYS_0002,Parkville FDS PLC connection status,PSS 2 connection 1 lost,,,2025.03.13 13:46:55.236,0,PKV
1,2025.03.13 13:46:50.184,PKV_SYS_0002,Parkville FDS PLC connection status,All connections lost,,,2025.03.13 13:46:55.221,0,PKV
1,2025.03.13 13:51:14.270,PKV-FIP-0001,Parkville Station FDCIE Panel ,Fire panel(s) in the station have a fault,2025.03.13 13:59:10.601,kai_longley,2025.03.13 14:12:05.403,0,PKV
1,2025.03.13 14:00:15.105,PKV-Z-4526,"ZONE 4526: B4, PKV-AZ-01 PLATFORM EAST",Smoke or heat detected - fire unconfirmed!,2025.03.13 14:01:37.756,kai_longley,2025.03.13 14:02:15.704,0,PKV
1,2025.03.13 14:00:15.580,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 14:01:17.033,kai_longley,2025.03.13 14:01:56.579,0,PKV
1,2025.03.13 14:00:19.072,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 14:01:17.033,kai_longley,2025.03.13 14:00:30.080,0,PKV
1,2025.03.13 14:05:45.574,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 14:07:03.824,kai_longley,2025.03.13 14:07:05.576,0,PKV
1,2025.03.13 14:05:47.027,PKV-Z-4504,"ZONE 4504: B4, PKV-AX-01 PLATFORM WEST",Smoke or heat detected - fire unconfirmed!,2025.03.13 14:07:27.160,kai_longley,2025.03.13 14:07:11.046,0,PKV
1,2025.03.13 14:05:49.080,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 14:07:03.824,kai_longley,2025.03.13 14:06:11.074,0,PKV
1,2025.03.13 14:10:51.518,PKV_SYS_0001,Parkville FDS (Modbus) connection status,PSS 1 connection 1 lost,,,2025.03.13 14:12:03.698,0,PKV
1,2025.03.13 14:10:51.518,PKV_SYS_0001,Parkville FDS (Modbus) connection status,All connections lost,,,2025.03.13 14:12:03.698,0,PKV
1,2025.03.13 14:10:51.576,PKV-FIP-0002,Parkville Station SHCIE Panel 2,No modbus gateway connection,,,2025.03.13 14:14:01.522,0,PKV
1,2025.03.13 14:10:51.576,PKV-FIP-0003,Parkville Station SHCIE Panel 3,No modbus gateway connection,,,2025.03.13 14:13:15.515,0,PKV
1,2025.03.13 14:10:51.576,PKV-FIP-0005,Parkville Station SHCIE Panel 5,No modbus gateway connection,,,2025.03.13 14:13:11.585,0,PKV
1,2025.03.13 14:10:51.576,PKV-FIP-0004,Parkville Station SHCIE Panel 4,No modbus gateway connection,,,2025.03.13 14:13:11.585,0,PKV
1,2025.03.13 14:10:51.576,PKV-FIP-0001,Parkville Station FDCIE Panel ,No modbus gateway connection,2025.03.13 14:14:19.591,kai_longley,2025.03.13 14:12:14.690,0,PKV
1,2025.03.13 14:10:51.577,PKV-FIP-0006,Parkville Station SHCIE Panel 6,No modbus gateway connection,,,2025.03.13 14:13:11.585,0,PKV
1,2025.03.13 14:10:51.578,PKV-FIP-0001,Parkville Station FDCIE Panel ,Modbus redundancy loss,2025.03.13 14:14:19.591,kai_longley,2025.03.13 14:12:14.690,0,PKV
1,2025.03.13 14:15:45.576,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 14:17:28.502,kai_longley,2025.03.13 14:17:28.566,0,PKV
1,2025.03.13 14:15:45.652,PKV-Z-4524,"ZONE 4524: B4, PKV-AZ-01 PLATFORM WEST",Smoke or heat detected - fire unconfirmed!,,,2025.03.13 14:17:29.115,0,PKV
1,2025.03.13 14:15:49.076,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke or heat detected! Extend timer within 30s to investigate!!,2025.03.13 14:17:28.502,kai_longley,2025.03.13 14:16:11.076,0,PKV
1,2025.03.13 14:17:49.077,PKV-FIP-0001,Parkville Station FDCIE Panel ,Fire panel(s) in the station have a fault,2025.03.13 14:26:32.401,kai_longley,,0,PKV
1,2025.03.13 14:22:58.564,PKV-FIP-0001,Parkville Station FDCIE Panel ,Smoke detected! Confirm Station Evac within 5 mins!!,2025.03.13 14:26:32.401,kai_longley,2025.03.13 14:26:14.565,0,PKV
