"Asset ID","Parent Object","Device Description","Template ID","Element ID","Element Description","Alarm","Alarm Rationalised","Alarm Text","Alarm Priority","Alarm Cause","Alarm Consequence","Alarm Action","Alarm Type","Escalate Alarm","PLC Tag","DB Address","Starting Address","Base Offset Bytes","Base Offset Bits","WinCC OA System","subsystem","Test Script","Alarm Summary","Alarm Priority Verification","Alarm HMI Changes","Status Change","Event Log Check","Test Result","Tester","Date Time Tested","Test Comment"
DMA-ASD-0001,DMA-FIP-0006,"B2U, DMA-ASD-0001 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3661","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0001,DMA-FIP-0006,"B2U, DMA-ASD-0001 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3661","1","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0002,DMA-FIP-0006,"B2U, DMA-ASD-0002 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3663","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0002,DMA-FIP-0006,"B2U, DMA-ASD-0002 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3663","1","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0003,DMA-FIP-0006,"B2U, DMA-ASD-0003 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3665","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0003,DMA-FIP-0006,"B2U, DMA-ASD-0003 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3665","1","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0005,DMA-FIP-0006,"B2U, DMA-ASD-0005 Under Platform - F1",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3669","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0005,DMA-FIP-0006,"B2U, DMA-ASD-0005 Under Platform - F1",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3669","1","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0006,DMA-FIP-0006,"B2U, DMA-ASD-0006 Under Platform - F1",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3671","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0006,DMA-FIP-0006,"B2U, DMA-ASD-0006 Under Platform - F1",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3671","1","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0007,DMA-FIP-0006,"B2U, DMA-ASD-0007 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3673","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0007,DMA-FIP-0006,"B2U, DMA-ASD-0007 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3673","1","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0008,DMA-FIP-0006,"B2U, DMA-ASD-0008 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF1,PLC enumeration for ASD Head 1 (F1),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3675","0","0",MTAZC,FDS,FULL,,,,,,,,,
DMA-ASD-0008,DMA-FIP-0006,"B2U, DMA-ASD-0008 Under Platform - F1 ",FDS_DEVICE_ASD,.state.enumStatusF2,PLC enumeration for ASD Head 2 (F2),false,,N/A,3,N/A,N/A,N/A,,,N/A,,"3675","1","0",MTAZC,FDS,FULL,,,,,,,,,
