"Asset ID","Description","Short Description","RSA Template","Related CCTV","Location","Floor","Room","Source Connection","rsa_device_description","x_coordinate","y_coordinate","display_maps"
TSC-Z-6182,"Zone 6182: GF CS, LIFT  TSC-TL-56",Z-6182,FDS_ZONE,"{""TSC CAM1015"",""TSC CAM1016"",""TSC CAM1020"",""TSC CAM1021""}",TSC,TSC_GF,,59,"Zone 6182: GF CS, LIFT  TSC-TL-56",,,true
TSC-Z-6183,"Zone 6183: GF CS, LIFT TSC-LFT-0013 TSC-TL-13",Z-6183,FDS_ZONE,"{""TSC CAM1023"",""TSC CAM1024""}",TSC,TSC_GF,,59,"Zone 6183: GF CS, LIFT TSC-LFT-0013 TSC-TL-13",,,true
TSC-Z-62140,"Zone 62140: B4 CS, HV SUB B GAS 611-42 TSC-TC-04",Z-62140,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62140: B4 CS, HV SUB B GAS 611-42 TSC-TC-04",,,true
TSC-Z-62141,"Zone 62141: B4 CS, HV SUBSTATION B 611-42 TSC-TC-04",Z-62141,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62141: B4 CS, HV SUBSTATION B 611-42 TSC-TC-04",,,true
TSC-ASD-1004,"B4 CS, HV SUB B 611-42, TSC-ASD-1004",ASD-1004,FDS_DEVICE_ASD,,TSC,TSC_B4,,93,"B4 CS, HV SUB B 611-42, TSC-ASD-1004",,,true
TSC-Z-62120,"Zone 62120: B4 CS, UPS/BATT A - GAS 640-41 TSC-TC-02",Z-62120,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62120: B4 CS, UPS/BATT A - GAS 640-41 TSC-TC-02",,,true
TSC-GSD-0005,"B4 CS, HV SUB A GAS DISCH , TSC-GSD-0005",GSD-0005,FDS_DEVICE,,TSC,TSC_B4,,93,"B4 CS, HV SUB A GAS DISCH , TSC-GSD-0005",,,false
TSC-Z-62142,"Zone 62142: B4 CS, HV SUB B FLT/ISO 611-42 TSC-TC-04",Z-62142,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62142: B4 CS, HV SUB B FLT/ISO 611-42 TSC-TC-04",,,true
TSC-Z-62150,"Zone 62150: B4 CS, HV SUB A GAS 611-41 TSC-TC-05",Z-62150,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62150: B4 CS, HV SUB A GAS 611-41 TSC-TC-05",,,true
TSC-Z-62151,"Zone 62151: B4 CS, HV SUBSTATION A 611-41 TSC-TC-05",Z-62151,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62151: B4 CS, HV SUBSTATION A 611-41 TSC-TC-05",,,true
TSC-SPE-1185,"B5 CS, TBC TBC, TSC-SPE-1185",SPE-1185,FDS_DEVICE,"{""TSC CAM1305"",""TSC CAM1310""}",TSC,TSC_B5,,59,"B5 CS, TBC TBC, TSC-SPE-1185",-5300512218,2407315851,true
TSC-SPE-1186,"B5 CS, TBC TBC, TSC-SPE-1186",SPE-1186,FDS_DEVICE,"{""TSC CAM1305""}",TSC,TSC_B5,,59,"B5 CS, TBC TBC, TSC-SPE-1186",-5300527866,2407313013,true
TSC-GSD-0002,"B4 CS, UPS/BATT A-GAS DIS , TSC-GSD-0002",GSD-0002,FDS_DEVICE,,TSC,TSC_B4,,93,"B4 CS, UPS/BATT A-GAS DIS , TSC-GSD-0002",,,false
TSC-SPE-1158,"B4 CS, HV SUB B 611-42, TSC-SPE-1158",SPE-1158,FDS_DEVICE,,TSC,TSC_B4,,93,"B4 CS, HV SUB B 611-42, TSC-SPE-1158",-5300430234,2407304526,true
TSC-Z-62112,"Zone 62112: B4 CS, EQUIP.RM FLT/ISO 705-41 TSC-TC-01",Z-62112,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62112: B4 CS, EQUIP.RM FLT/ISO 705-41 TSC-TC-01",,,true
TSC-Z-62152,"Zone 62152: B4 CS, HV SUB A FLT/ISO 611-41 TSC-TC-05",Z-62152,FDS_ZONE,,TSC,TSC_B4,,93,"Zone 62152: B4 CS, HV SUB A FLT/ISO 611-41 TSC-TC-05",,,true
TSC-Z-6165,"Zone 6165: B1 CS, CONCOURSE 102-43 TSC-TD-02",Z-6165,FDS_ZONE,"{""TSC CAM1080"",""TSC CAM1085"",""TSC CAM1086"",""TSC CAM1531""}",TSC,TSC_B1,,59,"Zone 6165: B1 CS, CONCOURSE 102-43 TSC-TD-02",,,true
TSC-Z-63110,"Zone 63110: B4 C, OHLE SW/RM - GAS 601-1 TSC-CC-01",Z-63110,FDS_ZONE,,TSC,TSC_B4,,94,"Zone 63110: B4 C, OHLE SW/RM - GAS 601-1 TSC-CC-01",,,true
TSC-Z-6412,"Zone 6412: B3 C, LIFT  TSC-CL-12",Z-6412,FDS_ZONE,"{""TSC CAM1206"",""TSC CAM1207""}",TSC,TSC_B3,,95,"Zone 6412: B3 C, LIFT  TSC-CL-12",,,true
