"Asset ID","Description","Short Description","CYP Template","RSA Template","Parent Object","Related CCTV","Location","Floor","Room","Functional Cat 1","Functional Cat 2","Functional Cat 3","Starting Address","Source Connection","DB Address","Version","modifieddatetime","rsa_device_description","device_reviewed","x_coordinate","y_coordinate","modifieduser","display_maps","x_px_coordinate","y_px_coordinate"
TSC_ESC_0001,Escalator 1 Bank 1 (Platform To Concourse),Esc 1,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-01,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:46.352,Escalator 1 Bank 1 (Concourse to Platforms),,-5300507110,2407284493,root,true,,
TSC_ESC_0002,Escalator 2 Bank 2 (Platform To Concourse),Esc 2,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-02,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:46.735,Escalator 2 Bank 2 (Concourse to Platforms),,-5300507110,2407281053,root,true,,
TSC_ESC_0003,Escalator 3 Bank 3 (Platform To Concourse),Esc 3,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-03,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:47.035,Escalator 3 Bank 3 (Concourse to Platforms),,,,root,true,0,0
TSC_ESC_0004,Escalator 4 Bank 3 (Platform To Concourse),Esc 4,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-04,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:47.705,Escalator 4 Bank 3 (Concourse to Platforms),,,,root,true,0,0
TSC_ESC_0005,Escalator 5 Bank 3 (Platform To Concourse),Esc 5,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-05,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:47.930,Escalator 5 Bank 3 (Concourse to Platforms),,,,root,true,0,0
TSC_ESC_0006,Escalator 6 Bank 4 (Platform To Concourse),Esc 6,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-06,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:48.405,Escalator 6 Bank 4 (Concourse to Platforms),,-5300382645,2407284493,root,true,,
TSC_ESC_0007,Escalator 7 Bank 4 (Platform To Concourse),Esc 7,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-07,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:49.055,Escalator 7 Bank 4 (Concourse to Platforms),,-5300382645,2407282773,root,true,,
TSC_ESC_0008,Escalator 8 Bank 4 (Platform To Concourse),Esc 8,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-08,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:49.255,Escalator 8 Bank 4 (Concourse to Platforms),,-5300382645,2407281053,root,true,,
TSC_ESC_0009,Escalator 9 Bank 5 (Platform To Concourse),Esc 9,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B4,TSC_B4_ESC-09,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:49.464,Escalator 9 Bank 5 (Concourse to Platforms),,-5300332967,2407284434,root,true,,
TSC_ESC_0010,Escalator 10 Bank 5 (Platform To Concourse),Esc 10,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B4,TSC_B4_ESC-10,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:50.106,Escalator 10 Bank 5 (Concourse to Platforms),,-5300332967,2407282794,root,true,,
TSC_ESC_0011,Escalator 11 Bank 5 (Platform To Concourse),Esc 11,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B4,TSC_B4_ESC-11,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:50.351,Escalator 11 Bank 5 (Concourse to Platforms),,-5300332967,2407281074,root,true,,
TSC_ESC_0012,Escalator 12 Bank 6 (B3 Basement To B2 Basement),Esc 12,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B3,TSC_B3_ESC-12,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:50.736,Escalator 12 Bank 6 (B2 Basement to Concourse),,-5300474563,2407313871,root,true,,
